아파트명,건축일,주소,세대,동,평,매매시세,전세시세,면적,층,실거래가(만원),거래일자,URL,이미지URL
삼창,1985,부산시 금정구 남산동,140세대,총4동,53㎡ ~ 85㎡,"3억2,000 ~ 4억","9,000 ~ 1억2,500",65.43,3,22700,2020.1.6,https://new.land.naver.com/complexes/4098?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150617_282%2Fpdcha32450_1434468159567woQiy_JPEG%2F3.jpg
삼창,1985,부산시 금정구 남산동,140세대,총4동,53㎡ ~ 85㎡,"3억2,000 ~ 4억","9,000 ~ 1억2,500",65.43,3,22300,2020.2.8,https://new.land.naver.com/complexes/4098?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150617_282%2Fpdcha32450_1434468159567woQiy_JPEG%2F3.jpg
삼창,1985,부산시 금정구 남산동,140세대,총4동,53㎡ ~ 85㎡,"3억2,000 ~ 4억","9,000 ~ 1억2,500",44.28,3,16950,2020.3.25,https://new.land.naver.com/complexes/4098?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150617_282%2Fpdcha32450_1434468159567woQiy_JPEG%2F3.jpg
삼창,1985,부산시 금정구 남산동,140세대,총4동,53㎡ ~ 85㎡,"3억2,000 ~ 4억","9,000 ~ 1억2,500",73.26,3,25100,2020.4.24,https://new.land.naver.com/complexes/4098?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150617_282%2Fpdcha32450_1434468159567woQiy_JPEG%2F3.jpg
삼창,1985,부산시 금정구 남산동,140세대,총4동,53㎡ ~ 85㎡,"3억2,000 ~ 4억","9,000 ~ 1억2,500",65.43,4,23200,2020.6.5,https://new.land.naver.com/complexes/4098?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150617_282%2Fpdcha32450_1434468159567woQiy_JPEG%2F3.jpg
삼창,1985,부산시 금정구 남산동,140세대,총4동,53㎡ ~ 85㎡,"3억2,000 ~ 4억","9,000 ~ 1억2,500",65.43,3,20500,2020.6.10,https://new.land.naver.com/complexes/4098?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150617_282%2Fpdcha32450_1434468159567woQiy_JPEG%2F3.jpg
삼창,1985,부산시 금정구 남산동,140세대,총4동,53㎡ ~ 85㎡,"3억2,000 ~ 4억","9,000 ~ 1억2,500",65.43,2,25000,2020.6.17,https://new.land.naver.com/complexes/4098?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150617_282%2Fpdcha32450_1434468159567woQiy_JPEG%2F3.jpg
삼창,1985,부산시 금정구 남산동,140세대,총4동,53㎡ ~ 85㎡,"3억2,000 ~ 4억","9,000 ~ 1억2,500",65.43,4,23000,2020.7.27,https://new.land.naver.com/complexes/4098?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150617_282%2Fpdcha32450_1434468159567woQiy_JPEG%2F3.jpg
삼창,1985,부산시 금정구 남산동,140세대,총4동,53㎡ ~ 85㎡,"3억2,000 ~ 4억","9,000 ~ 1억2,500",64.17,4,29000,2020.8.25,https://new.land.naver.com/complexes/4098?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150617_282%2Fpdcha32450_1434468159567woQiy_JPEG%2F3.jpg
삼창,1985,부산시 금정구 남산동,140세대,총4동,53㎡ ~ 85㎡,"3억2,000 ~ 4억","9,000 ~ 1억2,500",64.17,4,27500,2020.10.3,https://new.land.naver.com/complexes/4098?tab=detail&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20150617_282%2Fpdcha32450_1434468159567woQiy_JPEG%2F3.jpg
