아파트명,건축일,주소,세대,동,평,매매시세,전세시세,URL,이미지URL
삼익비치타운,1979,부산시 수영구 남천동,"3,060세대",총33동,55㎡ ~ 174㎡,"9억4,000 ~ 25억7,000","8,400 ~ 2억9,000",https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20200114_137%2Fapt_realimage_15789645847915DAKn_JPEG%2F380ed816377a21b372acdc435e730ea3.jpg&type=f82_82
삼호가든,1985,부산시 해운대구 우동,"1,076세대",총11동,90㎡ ~ 191㎡,"11억 ~ 20억2,000","1억3,000 ~ 3억1,000",https://new.land.naver.com/complexes/7745?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20210129_155%2Fapt_realimage_1611889411950RE62Y_JPEG%2Feb37aa345899668c463830fe9c231693.jpg&type=f82_82
삼익타워,1977,부산시 수영구 남천동,798세대,총8동,57㎡ ~ 177㎡,,,https://new.land.naver.com/complexes/7812?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20110421_61%2Fland_system_1303375882624KYGid_JPEG%2Fdetail_7812_0.jpg&type=f82_82
대연비치,1984,부산시 남구 대연동,"1,035세대",총9동,61㎡ ~ 190㎡,,,https://new.land.naver.com/complexes/4515?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20110421_124%2Fland_system_1303375916560qBnVI_JPEG%2Fdetail_4515_0.jpg&type=f82_82
한양,1980,부산시 동래구 낙민동,552세대,총8동,102㎡ ~ 158㎡,"6억6,000 ~ 9억5,000","1억6,000 ~ 3억1,000",https://new.land.naver.com/complexes/4824?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20110421_290%2Fland_system_1303393492020e9TXS_JPEG%2FB3ABB9CEB5BFB7A1C7D1BEE707.jpg&type=f82_82
서면삼익,1978,부산시 부산진구 당감동,"1,073세대",총11동,58㎡ ~ 140㎡,"4억7,000 ~ 7억5,000","1억3,500 ~ 2억1,000",https://new.land.naver.com/complexes/5087?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20200720_12%2Fapt_realimage_1595217362052DLqg1_JPEG%2F0e0637062f5e31cfaaa39a98c8c9132b.jpg&type=f82_82
"선경1,2차",1985,부산시 금정구 구서동,616세대,총8동,96㎡ ~ 191㎡,"6억4,000 ~ 9억7,000",2억500 ~ 4억,https://new.land.naver.com/complexes/4070?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20200129_277%2Fapt_realimage_15802599468264wQxv_JPEG%2Fe3731ce2b2b99b92f03aaa4fb663c44e.jpg&type=f82_82
시영(79),1980,부산시 해운대구 재송동,700세대,총16동,45㎡,"2억7,000 ~ 3억500","4,500 ~ 5,500",https://new.land.naver.com/complexes/15089?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20200914_234%2Fapt_realimage_1600047125960U7VX1_JPEG%2F039d426bbb5258f33c23325dd5572b05.jpg&type=f82_82
왕자맨션,1979,부산시 해운대구 반여동,390세대,총13동,80㎡ ~ 96㎡,"6억9,000 ~ 8억2,000","8,000 ~ 1억2,000",https://new.land.naver.com/complexes/7554?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20210129_209%2Fapt_realimage_1611885149151CX9BY_JPEG%2F6fb0c54877ec2af07089c176d94a6ecd.jpg&type=f82_82
현대그린맨션,1986,부산시 해운대구 반여동,600세대,총6동,79㎡ ~ 118㎡,"4억3,000 ~ 6억7,000","1억1,500 ~ 2억",https://new.land.naver.com/complexes/7621?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20210129_97%2Fapt_realimage_1611887020087NPXhX_JPEG%2F6909a64b319d4ff063df360acd072513.jpg&type=f82_82
대동대교맨션,1980,부산시 영도구 대평동1가,462세대,총4동,67㎡ ~ 173㎡,"3억3,000 ~ 5억7,000","1억1,000 ~ 2억2,500",https://new.land.naver.com/complexes/7709?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20200907_168%2Fapt_realimage_1599441720923P8Fpd_JPEG%2Fba25e729855db5ac69e3ea779c6e5b02.jpg&type=f82_82
한양,1978,부산시 동구 범일동,474세대,총3동,62㎡ ~ 152㎡,"4억 ~ 6억8,000","1억500 ~ 2억2,000",https://new.land.naver.com/complexes/4795?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20210129_86%2Fapt_realimage_1611886066486gHxPF_JPEG%2Fcf88999fcb509ec5f102cdb883ca6008.jpg&type=f82_82
새동래1차,1979,부산시 동래구 수안동,424세대,총4동,70㎡ ~ 111㎡,"4억5,000 ~ 6억6,000","1억 ~ 1억8,500",https://new.land.naver.com/complexes/4876?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20200914_73%2Fapt_realimage_1600047983010kpwUq_JPEG%2F52359b625c227e116a5dae1e0b229bab.jpg&type=f82_82
해바라기1차,1979,부산시 동래구 수안동,216세대,총3동,88㎡ ~ 161㎡,"6억6,500 ~ 11억","1억4,000 ~ 2억7,000",https://new.land.naver.com/complexes/4887?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20220428_175%2Fland_naver_1651100898868HXcjV_JPEG%2F58d718f8d434c827cfd631070b86c49e.jpg&type=f82_82
서면동원맨션,1982,부산시 부산진구 범전동,193세대,총8동,45㎡ ~ 155㎡,"7억1,000 ~ 10억5,000","5,000 ~ 9,000",https://new.land.naver.com/complexes/14806?tab=detail&rf=Y,
반도보라,1985,부산시 남구 대연동,260세대,총7동,59㎡ ~ 99㎡,"5억3,000 ~ 9억500","1억 ~ 1억9,000",https://new.land.naver.com/complexes/4529?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20110421_57%2Fland_system_13033938867288xbLC_JPEG%2FBBE7C1F8220013.jpg&type=f82_82
협진태양,1981,부산시 사하구 괴정동,300세대,총9동,67㎡ ~ 89㎡,"3억2,000 ~ 4억1,000","7,000 ~ 1억2,500",https://new.land.naver.com/complexes/6401?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20210129_214%2Fapt_realimage_1611884343671pzaVi_JPEG%2F31dab973e60f59aa59f50b09bf8749d2.jpg&type=f82_82
삼익그린맨션,1985,부산시 해운대구 반여동,315세대,총3동,84㎡ ~ 129㎡,"4억9,000 ~ 6억2,000","1억2,000 ~ 2억",https://new.land.naver.com/complexes/7533?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20210129_87%2Fapt_realimage_1611884412781aSsxh_JPEG%2Fdb5a19141fa8c23454634b78e31cb730.jpg&type=f82_82
부산시영,1986,부산시 부산진구 범전동,110세대,총2동,71㎡ ~ 89㎡,"8억 ~ 9억8,000","9,500 ~ 1억4,000",https://new.land.naver.com/complexes/15964?tab=detail&rf=Y,
수안,1976,부산시 동래구 수안동,157세대,총2동,50㎡ ~ 89㎡,4억 ~ 6억,"8,000 ~ 1억2,000",https://new.land.naver.com/complexes/19335?tab=detail&rf=Y,
신동양,1979,부산시 사하구 괴정동,273세대,총3동,85㎡ ~ 129㎡,"3억 ~ 4억4,000","1억3,000 ~ 2억2,000",https://new.land.naver.com/complexes/6218?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20110422_93%2Fland_system_1303440169334hUpeM_JPEG%2FIMG_2652.jpg&type=f82_82
효성,1983,부산시 연제구 연산동,189세대,총1동,51㎡ ~ 81㎡,"2억1,000 ~ 3억6,000","8,500 ~ 1억6,000",https://new.land.naver.com/complexes/13691?tab=detail&rf=Y,
새연산,1979,부산시 연제구 연산동,184세대,총2동,71㎡ ~ 113㎡,,,https://new.land.naver.com/complexes/9953?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20110421_167%2Fland_system_1303375449380u3bFt_JPEG%2Fdetail_9953_0.jpg&type=f82_82
창신,1985,부산시 사하구 당리동,203세대,총4동,69㎡ ~ 87㎡,"2억7,000 ~ 3억7,000","7,500 ~ 1억500",https://new.land.naver.com/complexes/6675?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20141022_167%2Fhscp_img_1413954694075hIEER_JPEG%2Fgw10265_1413954692562.jpg&type=f82_82
창신,1986,부산시 해운대구 반여동,220세대,총4동,36㎡ ~ 65㎡,"2억6,000 ~ 3억8,000","3,000 ~ 6,000",https://new.land.naver.com/complexes/7586?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20220428_111%2Fland_naver_1651102572796yDR1S_JPEG%2F409fb8c4deb303c3aee59bc7b90a5ead.jpg&type=f82_82
해바라기2차,1981,부산시 동래구 수안동,228세대,총3동,82㎡ ~ 178㎡,"6억4,000 ~ 10억5,000","1억3,000 ~ 2억3,000",https://new.land.naver.com/complexes/4890?tab=photos&rf=Y,https://search.pstatic.net/common/?src=https%3A%2F%2Flandthumb-phinf.pstatic.net%2F20220428_128%2Fland_naver_1651100903870H5CBp_JPEG%2Fc103533d88d3fc3220fb0c2850220d21.jpg&type=f82_82
