,apartment_name,build_year,area,floor,dong,road_name,road_name_bonbun,jibun,deal_amount,deal_day
0,우창팰리스,2017,65.4,8, 대저1동,낙동북로187번길,00010,1728-1,"    22,700",2022.1.1
1,명지1차 금강펜테리움 센트럴파크,2015,61.2559,21, 명지동,명지국제5로,00059,3354,"    43,000",2022.1.1
2,명지협성휴포레,2016,54.3113,4, 명지동,명지국제5로,00141,3328,"    31,500",2022.1.1
3,퀸덤1차링컨타운,2009,232.09,13, 명지동,명지오션시티10로,00016,3231,"   131,500",2022.1.3
4,명지2차금강펜테리움센트럴파크,2016,66.6612,29, 명지동,명지국제5로,00109,3343,"    48,500",2022.1.3
5,엘크루블루오션,2012,179.97,9, 명지동,명지오션시티12로,00092,3243,"   117,000",2022.1.3
6,엘크루블루오션,2012,147.52,9, 명지동,명지오션시티6로,00033,3243,"    86,500",2022.1.5
7,부산명지중흥S-클래스프라디움,2016,59.9882,23, 명지동,명지국제7로,00133,3400,"    39,000",2022.1.6
8,엘크루솔마레,2014,84.981,4, 명지동,명지오션시티12로,00010,3235,"    51,000",2022.1.7
9,극동스타클래스,2008,101.96,14, 명지동,명지오션시티2로,00071,3233,"    47,500",2022.1.8
10,명지협성휴포레,2016,59.9858,10, 명지동,명지국제5로,00141,3328,"    38,000",2022.1.8
11,명지협성휴포레,2016,59.9858,12, 명지동,명지국제5로,00141,3328,"    39,500",2022.1.8
12,명지2차금강펜테리움센트럴파크,2016,66.0657,2, 명지동,명지국제5로,00109,3343,"    34,800",2022.1.8
13,퀸덤1차링컨타운,2009,101.4,13, 명지동,명지오션시티10로,00016,3231,"    51,500",2022.1.8
14,명지협성휴포레,2016,59.9566,14, 명지동,명지국제5로,00141,3328,"    36,600",2022.1.9
15,명지1차 금강펜테리움 센트럴파크,2015,61.2559,18, 명지동,명지국제5로,00059,3354,"    40,000",2022.1.11
16,명지오션시티삼정그린코아,2014,79.1779,4, 명지동,명지오션시티10로,00114,3246,"    38,900",2022.1.14
17,명지더웨스턴,2018,84.61,15, 명지동,명지국제7로,00111,3399,"    62,500",2022.1.14
18,명지1차 금강펜테리움 센트럴파크,2015,61.254,19, 명지동,명지국제5로,00059,3354,"    41,000",2022.1.14
19,명지국제신도시호반베르디움2차,2017,84.8015,13, 명지동,명지국제5로,00089,3344,"    58,000",2022.1.15
20,퀸덤1차아인슈타인타운,2009,101.86,14, 명지동,명지오션시티11로,00051,3232,"    54,000",2022.1.17
21,명지두산위브포세이돈,2013,84.9819,9, 명지동,명지오션시티11로,00022,3234,"    54,000",2022.1.18
22,더에듀팰리스부영,2019,135.3039,17, 명지동,명지국제7로,00110,3404,"   107,700",2022.1.18
23,롯데캐슬,2008,147.94,6, 명지동,명지오션시티11로,00084,3244,"    62,000",2022.1.19
24,명지두산위브포세이돈,2013,70.8693,6, 명지동,명지오션시티11로,00022,3234,"    37,000",2022.1.20
25,부산명지중흥S-클래스에듀오션,2018,84.6651,2, 명지동,명지국제5로,00090,3350,"    58,500",2022.1.20
26,명지1차 금강펜테리움 센트럴파크,2015,61.254,20, 명지동,명지국제5로,00059,3354,"    42,500",2022.1.22
27,명지더웨스턴,2018,84.56,3, 명지동,명지국제7로,00111,3399,"    58,500",2022.1.22
28,명지대방노블랜드오션뷰2차,2016,84.9975,19, 명지동,명지국제5로,00011,3417,"    62,000",2022.1.22
29,퀸덤1차링컨타운,2009,101.4,4, 명지동,명지오션시티10로,00016,3231,"    49,500",2022.1.23
30,극동스타클래스,2008,84.97,7, 명지동,명지오션시티2로,00071,3233,"    38,700",2022.1.24
31,부산명지중흥S-클래스프라디움,2016,59.9962,6, 명지동,명지국제7로,00133,3400,"    39,000",2022.1.24
32,엘크루블루오션,2012,124.71,1, 명지동,명지오션시티6로,00033,3243,"    69,700",2022.1.24
33,극동스타클래스,2008,84.97,9, 명지동,명지오션시티2로,00071,3233,"    38,000",2022.1.25
34,에일린의 뜰,2015,84.9898,1, 명지동,명지국제5로,00060,3361,"    58,500",2022.1.25
35,명지국제신도시호반베르디움2차,2017,70.8176,11, 명지동,명지국제5로,00089,3344,"    50,000",2022.1.26
36,명지국제신도시호반베르디움1차,2016,74.8162,25, 명지동,명지국제5로,00029,3415,"    59,000",2022.1.27
37,부산명지중흥S-클래스프라디움,2016,59.9882,9, 명지동,명지국제7로,00133,3400,"    39,800",2022.1.27
38,명지협성휴포레,2016,59.9566,14, 명지동,명지국제5로,00141,3328,"    35,500",2022.1.27
