apartment_name,build_year,area,floor,dong,road_name,road_name_bonbun,jibun,deal_amount,deal_day,URL,image_url
삼익비치,1979,131.27,9, 남천동,광안해변로,100,148-4,"200,000",2022.1.11,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
삼익비치,1979,84.83,3, 남천동,광안해변로,100,148-4,"145,000",2022.1.14,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
삼익비치,1979,84.83,3, 남천동,광안해변로,100,148-4,"145,000",2022.1.14,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
삼익비치,1979,131.27,1, 남천동,광안해변로,100,148-4,"170,000",2022.2.9,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
삼익비치,1979,131.27,4, 남천동,광안해변로,100,148-4,"213,000",2022.2.12,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
삼익비치,1979,41.52,9, 남천동,광안해변로,100,148-4,"88,500",2022.5.6,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fimage.hogangnono.com%2Fimage%2Fnowatermark%2Foriginal%2Freview%2F20220406092844_OvppGW0I4BPM0Qbs2K%3Fs%3D720x180%26t%3Doutside%26q%3D100&type=sc960_832
한양,1980,96.4,11, 낙민동,충렬대로,314,172,"79,000",2022.3.26,https://new.land.naver.com/complexes/4824?tab=photos&rf=Y,https://landthumb-phinf.pstatic.net/20110421_101/land_system_1303393490526xzgDg_JPEG/B3ABB9CEB5BFB7A1C7D1BEE703.jpg?type=m1024
한양,1980,96.4,9, 낙민동,충렬대로,314,172,"80,000",2022.4.24,https://new.land.naver.com/complexes/4824?tab=photos&rf=Y,https://landthumb-phinf.pstatic.net/20110421_101/land_system_1303393490526xzgDg_JPEG/B3ABB9CEB5BFB7A1C7D1BEE703.jpg?type=m1024
시영79년,1980,40.13,2, 재송동,해운대로61번길,62,1030,"28,500",2022.5.6,https://new.land.naver.com/complexes/15089?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDExMDJfMTU4%2FMDAxNjA0MzE5Mjk5NzIy.aCXp5qFoQNb9ZrMYgFuzZPzcNxDH8VggEQasm2ftToEg.dlI6W1dwg9K8ubVCZpXdKYLwHqGduaXW9kTcmhnPt00g.JPEG.herotitan%2FKakaoTalk_20201019_205604858_23.jpg&type=sc960_832
시영79년,1980,40.13,4, 재송동,해운대로61번길,62,1030,"26,600",2022.5.6,https://new.land.naver.com/complexes/15089?tab=photos&rf=Y,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDExMDJfMTU4%2FMDAxNjA0MzE5Mjk5NzIy.aCXp5qFoQNb9ZrMYgFuzZPzcNxDH8VggEQasm2ftToEg.dlI6W1dwg9K8ubVCZpXdKYLwHqGduaXW9kTcmhnPt00g.JPEG.herotitan%2FKakaoTalk_20201019_205604858_23.jpg&type=sc960_832
